Title A,Title B,Average
Senior Software Developer,Principal Software Engineer,156
Senior Software Engineer,Principal Software Engineer,46
Software Developer,Software Engineer,16
Software Engineer,Senior Software Developer,25
Software Engineer,Senior Software Engineer,57
