title,company,date column 1,date column 2,job title,date column 3,date column 4
Principal Software Engineer,Allegro Development Corporation,May 2015 – Jan 2019,3 yrs 9 mos,,,
JustCommodity Software Solutions,,May 2013 – Apr 2014,1 yr,Lead Software Engineer,May 2013 – Apr 2014,1 yr
,,,,Senior Software Engineer,May 2012 – Apr 2013,1 yr
,,,,"Software Engineer, Support, and Implementation",Jul 2010 – Apr 2012,1 yr 10 mos
Software Engineer,Affle,May 2008 – Jun 2010,2 yrs 2 mos,,,
Software Developer,PT. Integra Solusindo Telematika (inTouch),Feb 2007 – May 2008,1 yr 4 mos,,,
